TRACK_ID,ARTIST_ID,ALBUM_ID,DURATION,MOOD_TAG,AUDIO_PATH,AF_PATH,MEL_PATH
TRK_84345,ARTST_131460,ALBM_648145,30.8,HAPPY,data/audio/5/TRK_84345.mp3,data/acoustic_brainz/5/TRK_84345.json,data/mel_feat/5/TRK_84345.npy
TRK_57556,ARTST_270583,ALBM_622721,117.1,SAD,data/audio/16/TRK_57556.mp3,data/acoustic_brainz/16/TRK_57556.json,data/mel_feat/16/TRK_57556.npy
TRK_35628,ARTST_344685,ALBM_771210,295.5,HAPPY,data/audio/8/TRK_35628.mp3,data/acoustic_brainz/8/TRK_35628.json,data/mel_feat/8/TRK_35628.npy
TRK_18717,ARTST_238138,ALBM_828352,34.7,SAD,data/audio/17/TRK_18717.mp3,data/acoustic_brainz/17/TRK_18717.json,data/mel_feat/17/TRK_18717.npy
TRK_76260,ARTST_188976,ALBM_885775,204.4,HAPPY,data/audio/0/TRK_76260.mp3,data/acoustic_brainz/0/TRK_76260.json,data/mel_feat/0/TRK_76260.npy
TRK_73982,ARTST_155692,ALBM_861361,215.2,HAPPY,data/audio/2/TRK_73982.mp3,data/acoustic_brainz/2/TRK_73982.json,data/mel_feat/2/TRK_73982.npy
TRK_93244,ARTST_205436,ALBM_763122,278.2,SAD,data/audio/4/TRK_93244.mp3,data/acoustic_brainz/4/TRK_93244.json,data/mel_feat/4/TRK_93244.npy
TRK_67231,ARTST_333828,ALBM_852714,258.0,HAPPY,data/audio/11/TRK_67231.mp3,data/acoustic_brainz/11/TRK_67231.json,data/mel_feat/11/TRK_67231.npy
TRK_74676,ARTST_197024,ALBM_819652,204.6,HAPPY,data/audio/16/TRK_74676.mp3,data/acoustic_brainz/16/TRK_74676.json,data/mel_feat/16/TRK_74676.npy
TRK_76832,ARTST_254311,ALBM_722147,187.5,SAD,data/audio/12/TRK_76832.mp3,data/acoustic_brainz/12/TRK_76832.json,data/mel_feat/12/TRK_76832.npy
TRK_98845,ARTST_327903,ALBM_622933,189.3,SAD,data/audio/5/TRK_98845.mp3,data/acoustic_brainz/5/TRK_98845.json,data/mel_feat/5/TRK_98845.npy
TRK_65578,ARTST_303174,ALBM_614424,344.3,HAPPY,data/audio/18/TRK_65578.mp3,data/acoustic_brainz/18/TRK_65578.json,data/mel_feat/18/TRK_65578.npy
TRK_27789,ARTST_131208,ALBM_533770,102.6,HAPPY,data/audio/9/TRK_27789.mp3,data/acoustic_brainz/9/TRK_27789.json,data/mel_feat/9/TRK_27789.npy
TRK_43185,ARTST_221505,ALBM_508824,282.3,HAPPY,data/audio/5/TRK_43185.mp3,data/acoustic_brainz/5/TRK_43185.json,data/mel_feat/5/TRK_43185.npy
TRK_16775,ARTST_295244,ALBM_835831,212.6,HAPPY,data/audio/15/TRK_16775.mp3,data/acoustic_brainz/15/TRK_16775.json,data/mel_feat/15/TRK_16775.npy
TRK_19599,ARTST_295402,ALBM_869640,131.8,HAPPY,data/audio/19/TRK_19599.mp3,data/acoustic_brainz/19/TRK_19599.json,data/mel_feat/19/TRK_19599.npy
TRK_42372,ARTST_294937,ALBM_877197,136.2,SAD,data/audio/12/TRK_42372.mp3,data/acoustic_brainz/12/TRK_42372.json,data/mel_feat/12/TRK_42372.npy
